INSTITUICAO_ENSINO_ALUNO_2020,NOME,FASE_2020,TURMA_2022,PONTO_VIRADA_2020,INDE_2020,PEDRA_2020,DESTAQUE_IEG_2020,DESTAQUE_IDA_2020,DESTAQUE_IPV_2020,IAA_2020,IEG_2020,IPS_2020,IDA_2020,IPP_2020,IPV_2020,IAN_2020
Escola Pública,ALUNO-120,0,A,Não,"7,80",Ametista,"Seu destaque em 2020: A sua boa entrega das lições de casa,","Seu destaque em 2020: As suas boas notas na Passos Mágicos,","Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos,","9,00","10,00","8,13","9,50","2,50","7,60","5,00"
,ALUNO-121,,,,,,,,,,,,,,,
,ALUNO-122,,,,,,,,,,,,,,,
,ALUNO-123,,,,,,,,,,,,,,,
,ALUNO-124,,,,,,,,,,,,,,,
Escola Pública,ALUNO-125,1,C,Não,"7,10",Ágata,"Seu destaque em 2020: A sua boa entrega das lições de casa,","Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações,","Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos,","9,00","9,00","7,50","5,00","7,70","7,30","5,00"
,ALUNO-126,,,,,,,,,,,,,,,
,ALUNO-127,,,,,,,,,,,,,,,
Escola Pública,ALUNO-128,0,G,Não,"5,80",Quartzo,"Seu destaque em 2020: A sua boa entrega das lições de casa,","Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações,","Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos,","7,40","10,00","5,63","5,50","2,50","3,50","5,00"
,ALUNO-129,,,,,,,,,,,,,,,
,ALUNO-130,,,,,,,,,,,,,,,
,ALUNO-131,,,,,,,,,,,,,,,
Escola Pública,ALUNO-132,4,F,Não,"7,30",Ametista,"Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa,","Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações,","Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos,","8,75","6,50","7,50","6,00","8,28","6,96","10,00"
Escola Pública,ALUNO-133,0,D,Não,"8,40",Ametista,"Seu destaque em 2020: A sua boa entrega das lições de casa,","Seu destaque em 2020: As suas boas notas na Passos Mágicos,","Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos,","10,00","9,80","7,50","10,00","7,10","7,50","5,00"
,ALUNO-134,,,,,,,,,,,,,,,
Escola Pública,ALUNO-135,1,A,Não,"7,70",Ametista,"Seu destaque em 2020: A sua boa entrega das lições de casa,","Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações,","Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos,","9,00","8,40","7,50","6,50","7,10","7,20","10,00"
Escola Pública,ALUNO-136,5,A,Não,"4,60",Quartzo,"Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa,","Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações,","Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos,","7,50","4,00","4,38","2,00","6,60","5,40","5,00"
,ALUNO-137,,,,,,,,,,,,,,,
,ALUNO-138,,,,,,,,,,,,,,,
